region,part,pctofwin
NALCS,78,0.8112676056338028
NALCS,79,0.8223350253807107
NALCS,80,0.8297872340425532
NALCS,81,0.8400702987697716
NALCS,82,0.8386308068459658
NALCS,83,0.8482758620689655
NALCS,84,0.8580246913580247
NALCS,85,0.8586278586278586
NALCS,86,0.872651356993737
NALCS,87,0.8739669421487604
NALCS,88,0.8627450980392157
NALCS,89,0.8811700182815356
NALCS,90,0.8894230769230769
NALCS,91,0.8895833333333333
NALCS,92,0.9105367793240556
NALCS,93,0.9092827004219409
NALCS,94,0.8594594594594595
NALCS,95,0.9409448818897638
NALCS,96,0.9097035040431267
NALCS,97,0.6375
NALCS,98,0.9415680473372781
NALCS,99,0.960691823899371
EULCS,0,0.4897959183673469
EULCS,1,0.4805389221556886
EULCS,2,0.4158415841584158
EULCS,3,0.5116279069767442
EULCS,4,0.4582392776523702
EULCS,5,0.45011600928074247
EULCS,6,0.4813895781637717
EULCS,7,0.45454545454545453
EULCS,8,0.5161290322580645
EULCS,9,0.551487414187643
EULCS,10,0.562200956937799
EULCS,11,0.5576036866359447
EULCS,12,0.5408163265306123
EULCS,13,0.5552631578947368
EULCS,14,0.5766423357664233
EULCS,15,0.5447570332480819
EULCS,16,0.6099773242630385
EULCS,17,0.5637254901960784
EULCS,18,0.6158940397350994
EULCS,19,0.5959183673469388
EULCS,20,0.5852534562211982
EULCS,21,0.6062176165803109
EULCS,22,0.6096938775510204
EULCS,23,0.5818815331010453
EULCS,24,0.6476868327402135
EULCS,25,0.6256544502617801
EULCS,26,0.6
EULCS,27,0.6379310344827587
EULCS,28,0.6300268096514745
EULCS,29,0.658695652173913
EULCS,30,0.6187845303867403
EULCS,31,0.65
EULCS,32,0.6507936507936508
EULCS,33,0.634703196347032
EULCS,34,0.6574712643678161
EULCS,35,0.6384039900249376
EULCS,36,0.7033492822966507
EULCS,37,0.650990099009901
EULCS,38,0.6375404530744336
EULCS,39,0.6829268292682927
EULCS,40,0.6886792452830188
EULCS,41,0.6719817767653758
EULCS,42,0.6797752808988764
EULCS,43,0.6979166666666666
EULCS,44,0.6971046770601337
EULCS,45,0.696969696969697
EULCS,46,0.6873315363881402
EULCS,47,0.7093235831809872
